freq_mhz,standby_dbuvm,movement_xray_dbuvm,delta_db
44.501953125,25.601425094393246,32.91042509439325,7.309000000000001
44.55078125,25.637425094393247,32.72942509439325,7.092000000000002
44.599609375,25.62042509439325,31.302425094393246,5.681999999999995
44.6484375,25.546425094393246,32.51342509439324,6.966999999999995
44.697265625,25.60842509439325,31.732425094393246,6.123999999999995
44.74609375,25.469425094393248,31.56342509439325,6.094000000000001
44.794921875,25.561425094393247,31.588425094393248,6.027000000000001
44.84375,25.50542509439325,30.665425094393246,5.159999999999997
44.892578125,25.503425094393247,31.30042509439325,5.797000000000004
44.94140625,25.56542509439325,30.74642509439325,5.180999999999997
44.990234375,25.628425094393247,29.86742509439325,4.239000000000004
45.0390625,25.63642509439325,31.55942509439325,5.923000000000002
45.087890625,25.60942509439325,29.842425094393246,4.232999999999997
45.13671875,25.592425094393246,29.866425094393247,4.274000000000001
45.185546875,25.55442509439325,31.39242509439325,5.838000000000001
45.234375,25.464425094393246,28.91142509439325,3.4470000000000027
45.283203125,25.56542509439325,29.780425094393248,4.214999999999996
45.33203125,25.54542509439325,31.412425094393246,5.866999999999997
45.380859375,25.576425094393247,28.49842509439325,2.922000000000004
45.4296875,25.457425094393248,29.88042509439325,4.423000000000002
45.478515625,25.56242509439325,31.22142509439325,5.658999999999999
45.52734375,25.56242509439325,28.35242509439325,2.789999999999999
45.576171875,25.57542509439325,29.774425094393248,4.198999999999998
45.625,25.707425094393248,30.99842509439325,5.291000000000004
45.673828125,25.69042509439325,28.402425094393248,2.711999999999996
45.72265625,25.65442509439325,29.908425094393248,4.253999999999998
45.771484375,25.66642509439325,30.60942509439325,4.942999999999998
45.8203125,25.574425094393245,28.385425094393252,2.811000000000007
45.869140625,25.65142509439325,29.952425094393245,4.300999999999995
45.91796875,25.79742509439325,30.347425094393248,4.549999999999997
45.966796875,25.857425094393246,28.24242509439325,2.385000000000005
46.015625,25.76742509439325,29.84042509439325,4.073
46.064453125,25.58442509439325,30.016425094393245,4.431999999999995
46.11328125,25.576425094393247,28.180425094393247,2.603999999999999
46.162109375,25.674425094393246,29.89842509439325,4.224000000000004
46.2109375,25.48742509439325,29.570425094393247,4.082999999999998
46.259765625,25.634425094393247,27.973425094393246,2.3389999999999986
46.30859375,25.42642509439325,30.01142509439325,4.585000000000001
46.357421875,25.409425094393246,29.06342509439325,3.6540000000000035
46.40625,25.35842509439325,27.59642509439325,2.2379999999999995
46.455078125,25.341425094393248,29.894425094393245,4.552999999999997
46.50390625,25.412425094393246,28.564425094393247,3.152000000000001
46.552734375,25.375425094393247,27.41042509439325,2.0350000000000037
46.6015625,25.378425094393247,29.98942509439325,4.611000000000004
46.650390625,25.25542509439325,28.31642509439325,3.061
46.69921875,25.26442509439325,27.594425094393248,2.3299999999999983
46.748046875,25.265425094393247,29.893425094393248,4.628
46.796875,25.31942509439325,28.11542509439325,2.7959999999999994
46.845703125,25.406425094393246,27.406425094393246,2.0
46.89453125,25.29842509439325,29.98342509439325,4.685000000000002
46.943359375,25.308425094393247,28.37142509439325,3.0630000000000024
46.9921875,25.287425094393246,27.644425094393245,2.3569999999999993
47.041015625,25.31542509439325,30.110425094393246,4.794999999999995
47.08984375,25.235425094393246,28.29242509439325,3.057000000000002
47.138671875,25.21542509439325,27.43542509439325,2.219999999999999
47.1875,25.357425094393246,30.05142509439325,4.694000000000003
47.236328125,25.238425094393246,28.347425094393248,3.1090000000000018
47.28515625,25.24542509439325,27.400425094393245,2.154999999999994
47.333984375,25.30142509439325,29.985425094393246,4.6839999999999975
47.3828125,25.345425094393246,28.388425094393245,3.0429999999999993
47.431640625,25.21542509439325,27.677425094393246,2.461999999999996
47.48046875,25.35542509439325,30.235425094393246,4.8799999999999955
47.529296875,25.36242509439325,28.40142509439325,3.0390000000000015
47.578125,25.31242509439325,27.63042509439325,2.317999999999998
47.626953125,25.30942509439325,30.05942509439325,4.75
47.67578125,25.332425094393248,28.55142509439325,3.219000000000001
47.724609375,25.409425094393246,27.54542509439325,2.136000000000003
47.7734375,25.40742509439325,30.098425094393246,4.690999999999995
47.822265625,25.524425094393248,28.36242509439325,2.838000000000001
47.87109375,25.41442509439325,27.58742509439325,2.173000000000002
47.919921875,25.479425094393246,30.210425094393248,4.731000000000002
47.96875,25.88042509439325,28.38042509439325,2.5
48.017578125,25.78942509439325,27.54542509439325,1.7560000000000002
48.06640625,25.597425094393248,30.10342509439325,4.506
48.115234375,25.583425094393245,28.494425094393247,2.9110000000000014
48.1640625,25.689425094393247,27.54542509439325,1.8560000000000016
48.212890625,25.54742509439325,30.101425094393246,4.553999999999995
48.26171875,25.638425094393245,28.649425094393248,3.011000000000003
48.310546875,25.826425094393247,28.250425094393247,2.4239999999999995
