freq_mhz,Ambient (22 May)_dbuvm,4SLF OFF — Standby_dbuvm,delta_db,comparison,Full system ON — Standby_dbuvm
32.099609375,23.845425094393246,26.210425094393248,2.365000000000002,4SLF OFF — Standby,
32.1484375,22.73042509439325,25.686425094393247,2.955999999999996,4SLF OFF — Standby,
32.197265625,23.040425094393246,25.84042509439325,2.8000000000000043,4SLF OFF — Standby,
32.24609375,23.91442509439325,25.45942509439325,1.5450000000000017,4SLF OFF — Standby,
32.294921875,22.799425094393246,25.491425094393247,2.692,4SLF OFF — Standby,
32.34375,22.81642509439325,25.35642509439325,2.539999999999999,4SLF OFF — Standby,
32.392578125,23.95342509439325,24.93442509439325,0.9810000000000016,4SLF OFF — Standby,
32.44140625,22.668425094393246,25.00242509439325,2.334000000000003,4SLF OFF — Standby,
32.490234375,22.37642509439325,24.522425094393245,2.1459999999999937,4SLF OFF — Standby,
32.5390625,23.875425094393247,24.640425094393247,0.7650000000000006,4SLF OFF — Standby,
32.587890625,22.18442509439325,24.841425094393248,2.6569999999999965,4SLF OFF — Standby,
32.63671875,22.12042509439325,25.817425094393247,3.6969999999999956,4SLF OFF — Standby,
32.685546875,23.89242509439325,25.869425094393247,1.9769999999999968,4SLF OFF — Standby,
32.734375,22.23942509439325,24.204425094393248,1.9649999999999963,4SLF OFF — Standby,
32.783203125,21.951425094393247,23.665425094393246,1.7139999999999986,4SLF OFF — Standby,
32.83203125,23.92542509439325,23.394425094393245,-0.5310000000000059,4SLF OFF — Standby,
32.880859375,22.263425094393245,23.37742509439325,1.1140000000000043,4SLF OFF — Standby,
32.9296875,21.693425094393252,23.323425094393247,1.6299999999999955,4SLF OFF — Standby,
32.978515625,23.95042509439325,23.141425094393245,-0.8090000000000046,4SLF OFF — Standby,
33.02734375,22.20642509439325,23.35642509439325,1.1499999999999986,4SLF OFF — Standby,
33.076171875,21.56642509439325,23.16142509439325,1.5949999999999989,4SLF OFF — Standby,
33.125,23.985425094393246,23.39242509439325,-0.5929999999999964,4SLF OFF — Standby,
33.173828125,22.354425094393246,23.229425094393246,0.875,4SLF OFF — Standby,
33.22265625,21.783425094393248,23.30742509439325,1.524000000000001,4SLF OFF — Standby,
33.271484375,23.958425094393245,23.30742509439325,-0.6509999999999962,4SLF OFF — Standby,
33.3203125,22.21842509439325,23.15742509439325,0.9390000000000001,4SLF OFF — Standby,
33.369140625,22.17842509439325,23.220425094393246,1.0419999999999945,4SLF OFF — Standby,
33.41796875,23.90142509439325,23.074425094393245,-0.8270000000000053,4SLF OFF — Standby,
33.466796875,22.284425094393246,23.216425094393248,0.9320000000000022,4SLF OFF — Standby,
33.515625,21.966425094393248,22.863425094393246,0.8969999999999985,4SLF OFF — Standby,
33.564453125,23.93142509439325,22.713425094393248,-1.2180000000000035,4SLF OFF — Standby,
33.61328125,22.22142509439325,22.81542509439325,0.5940000000000012,4SLF OFF — Standby,
33.662109375,21.90142509439325,22.580425094393245,0.6789999999999949,4SLF OFF — Standby,
33.7109375,24.00242509439325,22.963425094393248,-1.0390000000000015,4SLF OFF — Standby,
33.759765625,22.34342509439325,22.756425094393247,0.4129999999999967,4SLF OFF — Standby,
33.80859375,22.408425094393248,23.02042509439325,0.6120000000000019,4SLF OFF — Standby,
33.857421875,24.000425094393247,23.16742509439325,-0.8329999999999984,4SLF OFF — Standby,
33.90625,22.372425094393247,23.47442509439325,1.1020000000000039,4SLF OFF — Standby,
33.955078125,22.522425094393245,23.723425094393246,1.2010000000000005,4SLF OFF — Standby,
34.00390625,24.070425094393247,23.030425094393248,-1.0399999999999991,4SLF OFF — Standby,
34.052734375,22.54542509439325,23.086425094393245,0.5409999999999968,4SLF OFF — Standby,
34.1015625,21.98042509439325,22.869425094393247,0.8889999999999958,4SLF OFF — Standby,
34.150390625,24.16442509439325,23.11842509439325,-1.0459999999999994,4SLF OFF — Standby,
34.19921875,22.549425094393246,22.55442509439325,0.005000000000002558,4SLF OFF — Standby,
34.248046875,21.61142509439325,22.439425094393247,0.8279999999999959,4SLF OFF — Standby,
34.296875,24.00542509439325,22.729425094393246,-1.2760000000000034,4SLF OFF — Standby,
34.345703125,22.515425094393247,22.183425094393247,-0.33200000000000074,4SLF OFF — Standby,
34.39453125,21.695425094393247,22.196425094393252,0.5010000000000048,4SLF OFF — Standby,
34.443359375,24.00142509439325,22.338425094393248,-1.6630000000000038,4SLF OFF — Standby,
34.4921875,22.54442509439325,21.90742509439325,-0.6370000000000005,4SLF OFF — Standby,
34.541015625,21.58742509439325,21.99642509439325,0.4089999999999989,4SLF OFF — Standby,
34.58984375,24.06242509439325,22.113425094393246,-1.9490000000000052,4SLF OFF — Standby,
34.638671875,22.473425094393246,21.95042509439325,-0.5229999999999961,4SLF OFF — Standby,
34.6875,21.708425094393245,21.85342509439325,0.14500000000000313,4SLF OFF — Standby,
34.736328125,24.113425094393246,22.22542509439325,-1.8879999999999981,4SLF OFF — Standby,
34.78515625,22.519425094393245,21.99642509439325,-0.5229999999999961,4SLF OFF — Standby,
34.833984375,22.195425094393247,21.882425094393252,-0.3129999999999953,4SLF OFF — Standby,
34.8828125,24.28842509439325,22.341425094393248,-1.9470000000000027,4SLF OFF — Standby,
34.931640625,22.42242509439325,22.05742509439325,-0.365000000000002,4SLF OFF — Standby,
34.98046875,22.54242509439325,22.705425094393245,0.1629999999999967,4SLF OFF — Standby,
35.029296875,24.201425094393247,22.70642509439325,-1.4949999999999974,4SLF OFF — Standby,
35.078125,22.927425094393246,22.973425094393246,0.045999999999999375,4SLF OFF — Standby,
35.126953125,22.720425094393246,23.049425094393246,0.3290000000000006,4SLF OFF — Standby,
35.17578125,24.22742509439325,22.951425094393247,-1.2760000000000034,4SLF OFF — Standby,
35.224609375,23.11442509439325,23.82242509439325,0.7079999999999984,4SLF OFF — Standby,
35.2734375,22.73442509439325,23.595425094393246,0.8609999999999971,4SLF OFF — Standby,
35.322265625,24.52642509439325,24.10642509439325,-0.4200000000000017,4SLF OFF — Standby,
